11.04158,8.184296,-0.06450078
8.487672,8.736884,-0.6133921
5.630794,9.095623,-1.816411
5.049034,9.034513,-2.723068
4.821973,9.146196,-2.437274
16.13619,7.838381,-0.3097281
18.97378,8.175091,-0.8262101
21.74524,8.191535,-1.292515
22.50801,8.495298,-1.669254
22.60231,8.336416,-1.607599
14.60487,5.757717,-0.7449353
13.90914,5.678708,-1.674048
12.40414,6.10861,-0.5971112
13.04971,5.930985,-1.609643
13.5709,6.195315,-1.980766
12.99081,14.03046,-0.3619008
13.81243,19.24002,-0.5479958
14.03662,24.17373,0.4487696
14.14609,24.99761,-0.4400674
15.37448,14.00943,-0.4560548
15.32812,19.158,-1.284909
15.83791,24.07632,0.3644687
15.92615,24.87166,-0.52638
13.97395,12.46917,-0.4968125
